order_item_id,order_id,product_id,quantity,unit_price,line_total
1,1,24,1,443.3,443.3
2,1,33,2,336.74,673.48
3,2,6,3,20.73,62.19
4,2,136,4,82.93,331.72
5,2,164,3,135.91,407.73
6,3,156,3,440.24,1320.72
7,3,162,1,466.22,466.22
8,4,188,4,487.05,1948.2
9,4,47,1,200.84,200.84
10,4,161,4,409.47,1637.88
11,5,38,1,192.83,192.83
12,5,122,2,87.32,174.64
13,5,45,3,438.8,1316.4
14,5,76,4,459.65,1838.6
15,6,84,3,384.09,1152.27
16,6,103,1,111.05,111.05
17,6,81,3,439.61,1318.83
18,6,165,3,372.5,1117.5
19,6,145,4,467.68,1870.72
20,7,121,2,484.65,969.3
21,7,118,2,224.35,448.7
22,7,125,4,192.59,770.36
23,7,6,4,20.73,82.92
24,7,52,2,449.42,898.84
25,8,111,1,338.32,338.32
26,8,78,3,60.37,181.11
27,8,176,3,278.08,834.24
28,8,35,2,40.34,80.68
29,8,54,4,257.22,1028.88
30,9,129,4,332.63,1330.52
31,9,136,4,82.93,331.72
32,9,73,2,306.44,612.88
33,9,74,4,190.09,760.36
34,10,149,3,153.5,460.5
35,10,37,1,126.18,126.18
36,10,104,2,363.06,726.12
37,11,4,1,339.97,339.97
38,11,146,1,336.51,336.51
39,12,189,4,81.5,326.0
40,12,156,2,440.24,880.48
41,12,62,4,341.74,1366.96
42,12,172,4,415.53,1662.12
43,13,172,4,415.53,1662.12
44,14,70,2,256.3,512.6
45,15,123,3,243.27,729.81
46,15,18,4,52.87,211.48
47,15,159,4,154.75,619.0
48,15,105,4,290.22,1160.88
49,15,138,2,38.92,77.84
50,16,162,2,466.22,932.44
51,16,163,3,469.77,1409.31
52,16,16,4,478.82,1915.28
53,17,43,3,137.53,412.59
54,18,48,1,232.13,232.13
55,18,180,2,22.83,45.66
56,18,130,2,81.62,163.24
57,18,10,2,352.16,704.32
58,18,119,4,53.46,213.84
59,19,75,4,271.99,1087.96
60,20,24,1,443.3,443.3
61,20,163,2,469.77,939.54
62,20,10,4,352.16,1408.64
63,20,9,4,103.42,413.68
64,21,90,1,104.57,104.57
