payment_id,order_id,payment_method,amount,payment_date,payment_status
1,1,paypal,1116.78,2025-06-24 16:14:45,paid
2,2,card,801.64,2025-05-08 14:28:29,paid
3,3,card,1786.94,2026-03-09 05:10:37,paid
4,4,bank_transfer,3786.92,2026-01-14 22:26:40,paid
5,5,card,3522.47,2026-02-14 02:04:40,paid
6,6,paypal,5570.37,2025-06-04 23:59:40,paid
7,7,bank_transfer,3170.12,2025-06-19 01:22:44,paid
8,8,bank_transfer,2463.23,2026-03-01 19:17:19,refunded
9,9,bank_transfer,3035.48,2025-09-16 04:28:19,paid
10,10,bank_transfer,1312.8,2025-09-28 22:43:04,paid
11,11,card,676.48,2026-02-04 22:11:51,paid
12,12,paypal,4235.56,2026-02-28 17:50:31,paid
13,13,card,1662.12,2026-02-03 16:43:41,paid
14,14,card,512.6,2026-03-28 21:02:18,refunded
15,15,bank_transfer,2799.01,2025-05-18 20:23:26,refunded
16,16,bank_transfer,4257.03,2025-11-26 12:34:16,refunded
17,17,card,412.59,2025-07-09 21:29:28,refunded
18,18,bank_transfer,1359.19,2025-07-03 23:48:29,paid
19,19,paypal,1087.96,2025-05-12 08:13:18,paid
20,20,bank_transfer,3205.16,2026-04-05 19:38:04,refunded
21,21,paypal,2150.43,2025-05-15 00:06:54,refunded
22,22,card,3368.93,2025-08-08 18:13:54,paid
23,23,bank_transfer,2187.84,2026-02-17 06:40:10,refunded
24,24,card,1209.84,2025-11-28 22:14:38,refunded
25,25,paypal,1905.31,2025-11-03 15:27:02,refunded
26,26,paypal,3354.4,2025-12-19 06:18:02,refunded
27,27,card,413.63,2026-03-08 14:33:31,paid
28,28,bank_transfer,1076.28,2026-04-27 15:52:17,paid
29,29,paypal,742.72,2026-01-19 02:52:04,paid
30,30,card,1116.52,2026-04-06 08:57:10,paid
31,31,bank_transfer,581.7,2025-10-25 13:31:27,paid
32,32,bank_transfer,3669.58,2025-11-15 03:49:29,paid
33,33,bank_transfer,4372.15,2025-11-09 07:01:34,paid
34,34,bank_transfer,1032.56,2025-11-10 05:06:19,refunded
35,35,card,3611.65,2026-03-29 03:50:56,paid
36,36,bank_transfer,2547.46,2025-12-04 16:33:47,paid
37,37,card,2020.33,2025-10-14 23:28:10,refunded
38,38,bank_transfer,3480.75,2025-09-10 08:22:52,paid
39,39,bank_transfer,285.2,2026-01-18 04:59:15,paid
40,40,paypal,2740.17,2025-07-18 11:48:00,paid
41,41,paypal,1265.41,2026-01-22 00:19:21,paid
42,42,paypal,1854.35,2026-02-09 02:08:22,paid
43,43,card,1572.78,2026-02-02 04:02:28,paid
44,44,paypal,2984.35,2026-01-26 11:32:09,paid
45,45,bank_transfer,4207.63,2026-04-03 21:09:17,paid
46,46,bank_transfer,142.85,2025-09-19 06:13:16,refunded
47,47,paypal,2215.18,2026-01-11 20:53:55,refunded
48,48,card,3492.88,2025-11-13 12:11:39,paid
49,49,card,80.68,2025-09-13 12:35:31,paid
50,50,bank_transfer,2773.66,2025-07-08 10:33:10,refunded
51,51,card,1086.94,2025-07-28 16:07:46,paid
52,52,paypal,654.08,2025-12-31 07:15:01,paid
53,53,bank_transfer,1768.11,2025-11-21 11:35:47,refunded
54,54,paypal,256.16,2025-09-27 21:46:04,refunded
55,55,card,3478.37,2026-04-21 15:48:24,paid
56,56,paypal,723.32,2025-05-21 09:27:03,paid
57,57,bank_transfer,2885.89,2026-03-03 20:57:54,refunded
58,58,card,1016.32,2026-03-19 03:20:06,refunded
59,59,bank_transfer,1004.24,2026-04-21 00:40:50,paid
60,60,card,1452.0,2026-02-13 05:41:42,paid
61,61,paypal,1006.33,2026-02-28 15:51:53,refunded
62,62,card,555.87,2026-03-09 16:35:57,refunded
63,63,bank_transfer,160.28,2026-02-20 05:51:41,paid
64,64,bank_transfer,2319.42,2025-05-13 10:22:23,refunded
65,65,paypal,1860.98,2025-07-15 04:11:50,paid
66,66,bank_transfer,484.65,2025-05-04 11:24:29,refunded
67,67,bank_transfer,1238.9,2025-08-13 17:45:36,paid
68,68,card,1747.4,2025-08-23 01:42:28,paid
69,69,paypal,4255.33,2025-07-28 11:24:23,paid
70,70,paypal,1140.5,2026-04-20 23:59:18,paid
71,71,bank_transfer,144.09,2025-09-25 08:11:59,paid
72,72,paypal,1120.92,2026-01-03 08:51:36,refunded
73,73,card,2569.62,2025-05-29 14:44:10,refunded
74,74,bank_transfer,460.5,2026-03-10 02:49:56,refunded
75,75,bank_transfer,1542.0,2025-12-06 03:24:55,refunded
76,76,paypal,3468.32,2026-03-25 21:17:23,paid
77,77,paypal,441.0,2026-03-02 04:10:59,paid
78,78,bank_transfer,729.81,2025-12-06 15:02:24,refunded
79,79,card,1228.89,2025-08-30 07:19:27,refunded
80,80,card,218.06,2025-06-09 06:35:03,paid
81,81,paypal,2177.96,2025-10-23 11:43:41,paid
82,82,card,2684.56,2025-05-23 12:37:13,paid
83,83,bank_transfer,702.81,2025-09-09 11:36:27,paid
84,84,paypal,2046.5,2026-03-18 01:32:43,paid
85,85,paypal,3501.29,2026-04-01 07:46:56,paid
86,86,paypal,2248.29,2025-06-30 01:39:47,refunded
87,87,bank_transfer,2378.2,2025-07-18 06:58:11,paid
88,88,paypal,1915.48,2026-04-01 08:14:22,paid
89,89,bank_transfer,4426.29,2026-02-04 09:59:25,paid
90,90,paypal,366.8,2025-12-05 07:47:40,paid
91,91,bank_transfer,4172.93,2026-04-11 16:24:46,paid
92,92,card,1396.05,2026-04-23 07:39:39,paid
93,93,card,1877.34,2026-03-30 15:22:49,refunded
94,94,paypal,2203.5,2025-06-03 01:47:38,paid
95,95,card,3191.48,2025-05-06 14:51:18,refunded
96,96,bank_transfer,1056.48,2026-02-24 05:17:27,refunded
97,97,card,2329.44,2025-06-24 15:23:13,paid
98,98,card,157.59,2026-01-02 10:47:11,refunded
